"KEGG Organisms: Complete Genomes"
"Eukaryotes: 542   Bacteria: 6047   Archaea: 338"
"psw    Pseudomonas cremoricolorata                               2014 GenBank"
"ppv    Pseudomonas parafulva                                     2015 GenBank"
"pses Pseudomonas sp. StFLB209                                    2015 GenBank"
"psem Pseudomonas sp. MRSN12121                                   2015 GenBank"
"psec Pseudomonas sp. CCOS 191                                    2015 GenBank"
"ppsy Pseudomonas versuta                                         2016 GenBank"
"psos Pseudomonas sp. Os17                                        2016 GenBank"
"pkr    Pseudomonas koreensis                                     2017 GenBank"
"pfk    Pseudomonas frederiksbergensis                            2017 GenBank"
"panr   Pseudomonas antarctica                                    2017 GenBank"
"ppsl   Pseudomonas psychrotolerans                               2017 GenBank"
"pset   Pseudomonas sp. TCU-HL1                                   2018 GenBank"
"psil   Pseudomonas silesiensis                                   2018 GenBank"
"pym    Pseudomonas yamanorum                                     2019 GenBank"
"pade Candidatus Pseudomonas adelgestsugas                        2019 GenBank"
"psed Pseudomonas sp. R2A2                                        2019 GenBank"
"pke    Pseudomonas kribbensis                                    2020 GenBank"
"pall   Pseudomonas alcaliphila                                   2020 GenBank"
"pum    Pseudomonas umsongensis                                   2020 GenBank"
"poj    Pseudomonas otitidis                                      2020 GenBank"
"pgg    Pseudomonas graminis                                      2020 GenBank"
"avn    Azotobacter vinelandii DJ                                 2009 GenBank"
"avl   Azotobacter vinelandii CA                                 2013 GenBank"
"Azotobacter"
"avd    Azotobacter vinelandii CA6                                2013 GenBank"
"acx    Azotobacter chroococcum                                   2015 GenBank"
"Oblitimonas      pbb    Oblitimonas alkaliphila                                   2016 GenBank"
"Permianibacter   pagr   Permianibacter aggregans                                  2019 GenBank"
"Entomomonas      emo    Entomomonas moraniae                                      2020 GenBank"
"par    Psychrobacter arcticus                                    2005 GenBank"
"pcr    Psychrobacter cryohalolentis                              2006 GenBank"
"prw    Psychrobacter sp. PRwf-1                                  2007 GenBank"
"pso    Psychrobacter sp. G                                       2013 GenBank"
"pur    Psychrobacter urativorans                                 2016 GenBank"
"pali   Psychrobacter alimentarius                                2016 GenBank"
"Psychrobacter    pspg Psychrobacter sp. P2G3                                      2016 GenBank"
"psyg Psychrobacter sp. P11G5                                     2016 GenBank"
"psyc Psychrobacter sp. DAB_AL43B                                 2017 GenBank"
"psya Psychrobacter sp. AntiMn-1                                  2017 GenBank"
"                                                            psyy Psychrobacter sp. YP14                  2018 GenBank"
"psyp Psychrobacter sp. PAMC27889             2019 GenBank"
"acb    Acinetobacter baumannii ATCC 17978    2007 GenBank"
"abm    Acinetobacter baumannii SDF           2008 GenBank"
"aby    Acinetobacter baumannii AYE           2008 GenBank"
"abc    Acinetobacter baumannii ACICU         2008 GenBank"
"abn    Acinetobacter baumannii AB0057        2008 GenBank"
"abb    Acinetobacter baumannii AB307-0294    2008 GenBank"
"abx    Acinetobacter baumannii 1656-2        2012 GenBank"
"abz    Acinetobacter baumannii MDR-ZJ06      2012 GenBank"
"abr   Acinetobacter baumannii MDR-TJ        2012 GenBank"
"abd    Acinetobacter baumannii TCDC-AB0715   2012 GenBank"
"abh    Acinetobacter baumannii TYTH-1        2012 GenBank"
"abad Acinetobacter baumannii D1279779        2013 GenBank"
"abj   Acinetobacter baumannii BJAB07104     2013 GenBank"
"abab Acinetobacter baumannii BJAB0715        2013 GenBank"
"abaj   Acinetobacter baumannii BJAB0868      2013 GenBank"
"abaz Acinetobacter baumannii ZW85-1          2013 GenBank"
"abk    Acinetobacter baumannii AbH12O-A2     2014 GenBank"
"abau Acinetobacter baumannii AB030           2014 GenBank"
"abaa Acinetobacter baumannii AB031           2014 GenBank"
"abw    Acinetobacter baumannii AC29          2014 GenBank"
"abal   Acinetobacter baumannii LAC-4         2015 GenBank"
"acc    Acinetobacter pittii                  2012 RefSeq"
"ano    Acinetobacter nosocomialis            2016 GenBank"
"alc   Acinetobacter lactucae                2017 GenBank"
"Acinetobacter                acal   Acinetobacter calcoaceticus           2018 GenBank"
"acd    Acinetobacter oleivorans              2010 GenBank"
"aci   Acinetobacter baylyi                  2004 GenBank"
"att   Acinetobacter sp. TTH0-4              2016 GenBank"
"aei   Acinetobacter equi                    2016 GenBank"
"ajo   Acinetobacter johnsonii               2016 GenBank"
"acw    Acinetobacter sp. DUT-2               2016 GenBank"
"acv    Acinetobacter sp. TGL-Y2              2016 GenBank"
"ahl   Acinetobacter haemolyticus            2017 GenBank"
"ajn   Acinetobacter junii                   2017 GenBank"
"asol   Acinetobacter soli                    2017 GenBank"
"ala   Acinetobacter larvae                  2017 GenBank"
"asj   Acinetobacter schindleri              2017 GenBank"
"aid   Acinetobacter indicus                 2018 GenBank"
"adv    Acinetobacter defluvii                2018 GenBank"
"arj   Acinetobacter radioresistens          2018 GenBank"
""
"awu    Acinetobacter wuhouensis              2019 GenBank"
"acum Acinetobacter cumulans                  2019 GenBank"
"agu    Acinetobacter guillouiae              2019 GenBank"
"aug    Acinetobacter ursingii                2019 GenBank"
"alw    Acinetobacter lwoffii                 2020 GenBank"
"ads    Acinetobacter dispersus               2020 GenBank"
"aber   Acinetobacter bereziniae              2020 GenBank"
"atn   Acinetobacter tandoii                 2020 GenBank"
"achi   Acinetobacter chinensis               2020 GenBank"
"mct    Moraxella catarrhalis BBH18           2010 GenBank"
"Gammaproteobacteria - Others"
"mcs    Moraxella catarrhalis 25240           2014 GenBank"
"mcat Moraxella catarrhalis 25239             2014 GenBank"
"moi    Moraxella ovis                        2016 GenBank"
"Moraxella"
"mos    Moraxella osloensis                   2016 GenBank"
"mbl    Moraxella bovoculi                    2016 GenBank"
"mboi Moraxella bovis                         2018 GenBank"
"mcun Moraxella cuniculi                      2020 GenBank"
"unclassified Moraxellaceae   mbah Moraxellaceae bacterium HYN0046         2018 GenBank"
"son    Shewanella oneidensis                 2002 RefSeq"
"sdn    Shewanella denitrificans              2006 GenBank"
"sfr   Shewanella frigidimarina              2006 GenBank"
"saz    Shewanella amazonensis                2006 GenBank"
"sbl   Shewanella baltica OS155              2007 GenBank"
"sbm    Shewanella baltica OS185              2007 GenBank"
"sbn    Shewanella baltica OS195              2007 GenBank"
"sbp    Shewanella baltica OS223              2008 GenBank"
"sbt   Shewanella baltica OS678              2012 GenBank"
"                    sbs    Shewanella baltica OS117                        2012 GenBank"
"sbb    Shewanella baltica BA175                        2012 GenBank"
"slo   Shewanella loihica                              2007 GenBank"
"spc    Shewanella putrefaciens CN-32                   2007 GenBank"
"shp    Shewanella putrefaciens 200                     2012 GenBank"
"sse    Shewanella sediminis                            2007 GenBank"
"spl   Shewanella pealeana                             2007 GenBank"
"she    Shewanella sp. MR-4                             2006 GenBank"
"shm    Shewanella sp. MR-7                             2006 GenBank"
"Shewanella"
"shn    Shewanella sp. ANA-3                            2006 GenBank"
"shw    Shewanella sp. W3-18-1                          2007 GenBank"
"shl   Shewanella halifaxensis                         2008 GenBank"
"swd    Shewanella woodyi                               2008 GenBank"
"swp    Shewanella piezotolerans                        2008 GenBank"
"svo    Shewanella violacea                             2010 GenBank"
"shf   Shewanella sp. FDAARGOS_354                     2017 GenBank"
"sja   Shewanella japonica                             2017 GenBank"
"spsw Shewanella psychrophila                           2017 GenBank"
"sbj   Shewanella bicestrii                            2017 GenBank"
"smav Shewanella marisflavi                             2018 GenBank"
"shew Shewanella sp. WE21                               2018 GenBank"
"salg   Shewanella algae                                2018 GenBank"
"slj   Shewanella livingstonensis                      2019 GenBank"
"smai Shewanella maritima                               2020 GenBank"
"spol   Shewanella polaris                              2020 GenBank"
"sbk    Shewanella benthica                             2020 GenBank"
"skh    Shewanella khirikhana                           2020 GenBank"
"saes Shewanella aestuarii                              2020 GenBank"
"ilo   Idiomarina loihiensis L2TR                      2004 GenBank"
"ili   Idiomarina loihiensis GSL 199                   2013 GenBank"
"Idiomarina           ipi   Idiomarina piscisalsi                           2017 GenBank"
"idi   Idiomarina sp. X4                               2017 GenBank"
"idt   Idiomarina sp. OT37-5b                          2018 GenBank"
"cps    Colwellia psychrerythraea                       2005 RefSeq"
"com    Colwellia sp. MT41                              2016 GenBank"
"coz    Colwellia sp. PAMC 20917                        2016 GenBank"
"Colwellia           colw   Colwellia sp. PAMC 21821                        2017 GenBank"
"cola   Colwellia sp. Arc7-D                            2018 GenBank"
"cber   Colwellia beringensis                           2018 GenBank"
"cov    Colwellia sp. Arc7-635                          2019 GenBank"
"Litorilituus         lsd   Litorilituus sediminis                          2019 GenBank"
"tht   Thalassotalea sp. HSM 43                        2019 GenBank"
"Thalassotalea"
"thap   Thalassotalea sp. PS06                          2019 GenBank"
"pha    Pseudoalteromonas translucida TAC125            2005 GenBank"
"ptn   Pseudoalteromonas translucida KMM 520           2016 GenBank"
"pat   Pseudoalteromonas atlantica                     2006 GenBank"
"psm    Pseudoalteromonas sp. SM9913                    2010 GenBank"
"pseo Pseudoalteromonas piratica OCN003                 2015 GenBank"
"pia   Pseudoalteromonas issachenkonii                 2016 GenBank"
"pphe Pseudoalteromonas phenolica                       2016 GenBank"
"pbw    Pseudoalteromonas sp. Bsw20308                  2016 GenBank"
"prr   Pseudoalteromonas rubra                         2016 GenBank"
"plz   Pseudoalteromonas luteoviolacea                 2016 GenBank"
"paln   Pseudoalteromonas aliena                        2017 GenBank"
"Pseudoalteromonas   ppis   Pseudoalteromonas piscicida                     2017 GenBank"
"pea    Pseudoalteromonas espejiana                     2017 GenBank"
"pspo Pseudoalteromonas spongiae                        2017 GenBank"
"part   Pseudoalteromonas arctica                       2017 GenBank"
